[2026-03-29T13:42:50.517Z] GET https://help.onekey.so/en/collections/18871692-onekey-perps → 200 (854ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → pending (?ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → pending (?ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → pending (?ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → pending (?ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → pending (?ms, ?B)
[2026-03-29T13:42:51.379Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → pending (?ms, ?B)
[2026-03-29T13:42:51.380Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → pending (?ms, ?B)
[2026-03-29T13:42:51.380Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → pending (?ms, ?B)
[2026-03-29T13:42:51.380Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → pending (?ms, ?B)
[2026-03-29T13:42:51.380Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → pending (?ms, ?B)
[2026-03-29T13:42:51.380Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/collections/%5BcollectionSlug%5D-1eac9c62100500a1.js → pending (?ms, ?B)
[2026-03-29T13:42:51.381Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → pending (?ms, ?B)
[2026-03-29T13:42:51.381Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → pending (?ms, ?B)
[2026-03-29T13:42:51.381Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → pending (?ms, ?B)
[2026-03-29T13:42:51.742Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (361ms, ?B)
[2026-03-29T13:42:51.742Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (649ms, ?B)
[2026-03-29T13:42:51.742Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (649ms, 1715B)
[2026-03-29T13:42:51.742Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → pending (?ms, ?B)
[2026-03-29T13:42:51.998Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → pending (?ms, ?B)
[2026-03-29T13:42:52.585Z] GET https://widget.intercom.io/widget/vbbj4ssb → 200 (325ms, 7614B)
[2026-03-29T13:42:52.601Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791771992&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_s=1&tag_exp=0~115938465~115938469~116133312~117484252&sid=1774791772&sct=1&seg=0&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20%7C%20OneKey%20Help%20Center&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=2082 → 204 (336ms, ?B)
[2026-03-29T13:43:06.033Z] GET https://help.onekey.so/en/articles/13987899-onekey-perps-introduction → pending (?ms, ?B)
[2026-03-29T13:43:06.449Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791771992&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938465~115938469~116133312~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=13844&tfd=15928 → pending (?ms, ?B)
[2026-03-29T13:43:06.451Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (1ms, 121499B)
[2026-03-29T13:43:06.452Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:43:06.452Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:43:06.452Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:43:06.452Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (1ms, 126284B)
[2026-03-29T13:43:06.453Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:43:06.453Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:43:06.453Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:43:06.453Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (80ms, 16700B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (84ms, 15722B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (82ms, 666B)
